Pstag,T,Benourlli,modB,HEM,Pein,Paus,kritisch,saettigungsdruck
8,220.0,17595.31,14876.9,14959.0,7.86767578125,2.2694,True,2.3192877277254245
8,223.0,17555.04,14663.8,14750.04,7.87060546875,2.3791,True,2.4553495375797034
8,226.0,17514.03,14440.65,14542.77,7.873779296875,2.3878,True,2.5974930114179724
8,229.0,17472.27,14206.86,14337.53,7.876708984375,2.3964,True,2.7458998628407825
8,232.0,17429.73,13961.8,14131.71,7.879638671875,2.4129,True,2.900754401471445
8,235.0,17386.36,13704.77,13923.55,7.882568359375,2.4137,True,3.062243557268781
8,238.0,17342.15,13434.99,13711.83,7.885498046875,2.4224,True,3.230556911322017
8,241.0,17297.05,13151.6,13495.59,7.888427734375,2.4233,True,3.4058867337731824
8,244.0,17251.02,12853.61,13274.4,7.8916015625,2.4242,True,3.5884280295753284
8,247.0,17204.04,12539.92,13046.9,7.89453125,2.4251,True,3.778378592868306
8,250.0,17156.04,12209.24,12813.46,7.89794921875,2.4183,True,3.9759390708353273
8,253.0,17106.98,11860.11,12572.45,7.901123046875,2.4114,True,4.181313037998022
8,256.0,17056.81,11490.79,12323.58,7.904296875,2.4046,True,4.394707082014427
8,259.0,17005.47,11099.23,12066.56,7.90771484375,2.39,True,4.616330902166349
8,262.0,16952.9,10682.98,11800.38,7.9111328125,2.3675,True,4.846397421862504
8,265.0,16899.01,10239.01,11524.64,7.914794921875,2.3529,True,5.085122916643516
8,268.0,16843.75,9763.56,11238.22,7.91845703125,2.3227,True,5.332727159358537
8,271.0,16787.01,9251.8,10940.21,7.922119140625,2.2924,True,5.589433584394264
8,274.0,16728.7,8697.41,10630.0,7.926025390625,2.2621,True,5.855469473080763
8,277.0,16668.72,8091.71,10306.08,7.929931640625,2.2162,True,6.131066162678943
